"domaine_professionnel","grand_domaine","rome","type_structure","id_structure","nombre_de_fiches_de_poste_en_tension","id","id_asp","structure_id_siae","adresse_ligne_1","adresse_ligne_2","ville","code_commune","code_postal","longitude","latitude","département","région"
H21- Alimentaire,H- Industrie,H2102-Conducteur / Conductrice de ligne en industrie alimentaire,ETTI,9310,1,9310,5359,5359,Port TOGA bat A,"",BASTIA,"2B353","20200",9.45539,42.708231,"2B",Corse
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1304-Technicien / Technicienne de maintenance industrielle,ETTI,10,2,10,3748,3748,"1 rue Jeanne d'Arc","",ARRAS,"62041","62000",2.77159,50.287228,"62",Hauts-de-France
"H32- Plastique, caoutchouc",H- Industrie,H3202-Monteur régleur / Monteuse régleuse en plasturgie,ETTI,11205,1,11205,6374,6374,"28 Rue Roger Godard","",FLIXECOURT,"80318","80420",2.080412,50.015298,"80",Hauts-de-France
G12- Animation d'activités de loisirs,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1203-Animateur / Animatrice auprès des jeunes,AI,4330,2,4330,1403,1403,"9 Rue de Guebwiller","",COLMAR,"68066","68000",7.34109,48.077336,"68",Grand Est
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,2370,1,2370,2408,2408,Rue Léon Fourney,"",MONTBARD,"21425","21500",4.338777,47.62305,"21",Bourgogne-Franche-Comté
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1703-Maçon / Maçonne,AI,8413,2,8413,776,776,"45 Avenue Georges Brassens",Résidence Hélida,ST DENIS,"97411","97400",55.479517,-20.900684,"974",La Réunion
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1603-Plombier / Plombière,ETTI,11983,1,11983,6450,6450,"107 HOWELL CENTER - MARIGOT","106-107",ST MARTIN,"97801","97150",-63.079373,18.071295,"971",Guadeloupe
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1701-Coffreur / Coffreuse,ETTI,2414,1,2414,2454,2454,"15 ter rue de la baie","",LE PORT,"97415","97460",55.267943,-21.010049,"974",La Réunion
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1601-Chef / Cheffe de cuisine,AI,5363,1,5363,591,591,"50 IMPASSE MOISSAN","",CROLLES,"38140","38920",5.886479,45.283763,"38",Auvergne-Rhône-Alpes
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1310-Mécanicien / Mécanicienne de maintenance industrielle,ETTI,9552,1,9552,5259,5259,"110, Esplanade  du Général de Gaulle",Tour Coeur Défense,COURBEVOIE,"92026","92400",2.243423,48.890852,"92",Île-de-France
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,5078,1,5078,2796,2796,"2 Allee Catherine de Bourbon","",PAU,"64445","64000",-0.359284,43.319955,"64",Nouvelle-Aquitaine
"I16- Véhicules, engins, aéronefs",I- Installation et Maintenance,I1606-Carrossier-peintre / Carrossière-peintre,ETTI,11735,1,11735,4289,4289,Allée Robert Schumann,PARC D ACTIVITES RAONNAIS,RAON L ETAPE,"88503","88110",6.826751000000001,48.40440199999999,"88",Grand Est
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1705-Poseur / Poseuse de canalisations,ETTI,3828,2,3828,3358,3358,"2 Rue du Cygne","",DESVRES,"62268","62240",1.835443,50.668391,"62",Hauts-de-France
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,AI,3960,1,3960,796,796,"19, rue Bailly","",NEUILLY SUR SEINE,"92051","92200",2.259659,48.886709999999994,"92",Île-de-France
H21- Alimentaire,H- Industrie,H2102-Conducteur / Conductrice de ligne en industrie alimentaire,ETTI,11028,1,11028,6246,6246,"7 Rue Rene Hery","",BRESSUIRE,"79049","79300",-0.492731,46.841333,"79",Nouvelle-Aquitaine
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1602-Électricien / Électricienne du bâtiment,ETTI,11859,1,11859,6895,6895,"121-123 Route de l'Eperon",IMM ZE BUREAU - Bureau 20,ST PAUL,"97411","97435",55.251148,-21.04355,"974",La Réunion
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,AI,7852,1,7852,992,992,"6 Rue des Arts","",LES HERBIERS,"85109","85500",-1.010424,46.870832,"85",Pays de la Loire
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1306-Frigoriste,ETTI,6178,1,6178,3863,3863,"48, rue de la Charité","",LE FLEIX,"16015","16000",0.120707,45.647758,"16",Nouvelle-Aquitaine
F13- Engins de chantier,"F- Construction, Bâtiment et Travaux publics",F1302-Conducteur / Conductrice d'engins de chantier,ETTI,11217,1,11217,6617,6617,"13 rue des Grands Champs","",ANCENIS ST GEREON,"44003","44150",-1.17944,47.372001,"44",Pays de la Loire
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1105-Manutentionnaire,ETTI,2112,1,2112,2143,2143,"43 Avenue Gambetta","",JOIGNY,"89206","89300",3.394528,47.977891,"89",Bourgogne-Franche-Comté
D11- Commerce alimentaire et métiers de bouche,"D- Commerce, Vente et Grande distribution",D1102-Boulanger / Boulangère,ETTI,7244,1,7244,1998,1998,"45 Avenue Georges BRASSENS",Rés HELIDA,ST DENIS,"97411","97490",55.490227,-20.927414,"974",La Réunion
M16- Secrétariat et assistance,M- Support à l'entreprise,M1603-Facteur / Factrice,ETTI,4191,3,4191,1522,1522,"7 Rue Gustave Serrurier","",LE HAVRE,"76351","76620",0.108246,49.525925,"76",Normandie
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1608-Carreleur / Carreleuse,ETTI,1571,1,1571,1573,1573,"40 Rue Honhon","",VALENCIENNES,"59606","59300",3.522377,50.362145,"59",Hauts-de-France
K25- Sécurité privée,K- Services à la personne et à la collectivité,K2503-Agent / Agente de prévention et de sécurité,ETTI,10551,1,10551,5849,5849,Saint Jean,CORSE INSERTION TRAVAIL TEMPORAIRE RN 200 BP 57,CORTE,"2B096","20250",9.169436,42.293404,"2B",Corse
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,1869,2,1869,1894,1894,"9 Rue de Juillet","",CONFOLENS,"16106","16500",0.672015,46.011255,"16",Nouvelle-Aquitaine
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1602-Électricien / Électricienne du bâtiment,EI,5253,1,5253,3638,3638,"4b Avenue Christiane Jansen","",ST LOUP SUR SEMOUSE,"70467","70800",6.274321,47.880571,"70",Bourgogne-Franche-Comté
