"domaine_professionnel","grand_domaine","rome","type_structure","id_structure","nombre_de_fiches_de_poste_en_tension","id","id_asp","structure_id_siae","adresse_ligne_1","adresse_ligne_2","ville","code_commune","code_postal","longitude","latitude","département","région"
D15- Grande distribution,"D- Commerce, Vente et Grande distribution",D1505-Caissier / Caissière,ACI,9870,1,9870,5441,5441,Réage du Coqueret,RESIDENCE ORPHEE - APPT 2 - BAT 6,ARGENTAN,"61006","61200",-0.017236,48.751628,"61",Normandie
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,AI,8462,1,8462,748,748,CA,ADS Emploi ZAC DE LA CROIX PRUNELLE BP 23,ST ANDRE DE L EURE,"27621","27220",1.281287,48.903838,"27",Normandie
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,EI,5878,1,5878,1796,1796,"1628 Avenue Joseph Gasquet","",TOULON,"83137","83100",5.970584,43.122259,"83",Provence-Alpes-Côte d'Azur
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,AI,6852,2,6852,614,614,"21 Avenue de Ouagadougou","",LOUDUN,"86137","86200",0.088954,47.019179,"86",Nouvelle-Aquitaine
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,6869,2,6869,5944,5944,"5 place Henri Lacabanne","",MONEIN,"64393","64360",-0.580217,43.320333,"64",Nouvelle-Aquitaine
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2901-Ajusteur-monteur / Ajusteuse-monteuse,ETTI,3905,1,3905,1351,1351,"76 boulevard Francois Mitterrand","",CLERMONT FERRAND,"63113","63000",3.085887,45.771245,"63",Auvergne-Rhône-Alpes
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2902-Chaudronnier / Chaudronnière,ETTI,11954,1,11954,6943,6943,"4 RUE DE SAINT HELENS","",CHALON SUR SAONE,"71076","71100",4.863068,46.796537,"71",Bourgogne-Franche-Comté
N42- Personnel d'encadrement du transport routier,N- Transport et Logistique,N4204-Agent / Agente d'exploitation transport routier de personnes,ETTI,3587,1,3587,4035,4035,Boulevard du Stade - Kavani,"",MAMOUDZOU,"97611","97600",45.220351,-12.781919,"976",Mayotte
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1701-Coffreur / Coffreuse,ETTI,10395,2,10395,5861,5861,"10 Boulevard Schuman","",CHERBOURG EN COTENTIN,"50129","50100",-1.625525,49.637688,"50",Normandie
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1608-Carreleur / Carreleuse,ETTI,36,1,36,1671,1671,"232 RUE ROGER SALENGRO","",BRUAY LA BUISSIERE,"62178","62700",2.543672,50.473015,"62",Hauts-de-France
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,AI,6090,1,6090,1500,1500,"20 Avenue Meunier","",MOULINS,"03190","03000",3.336597,46.559347,"03",Auvergne-Rhône-Alpes
H33- Préparation et conditionnement,H- Industrie,H3302-Agent / Agente de conditionnement,ETTI,11285,1,11285,6790,6790,"18 rue lazare carnot","",SEGRE EN ANJOU BLEU,"49331","49500",-0.8703960000000001,47.68368199999998,"49",Pays de la Loire
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,6293,1,6293,537,537,"5, Place du Colonel Parisot","",AIGNAN,"32001","32290",0.083024,43.697865,"32",Occitanie
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1603-Plombier / Plombière,ETTI,10420,2,10420,5887,5887,"6 rue Guillaume LEKEU","",ANGERS,"49007","49000",-0.523135,47.47144699999999,"49",Pays de la Loire
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1101-Cariste,ETTI,2373,1,2373,2411,2411,"6 Rue de l'Argentique","",FRAGNES LA LOYERE,"71204","71530",4.854971999999999,46.82179399999999,"71",Bourgogne-Franche-Comté
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,AI,12,1,12,566,566,"1 Rue Sainte Marguerite","",ST OMER,"62765","62500",2.260586,50.751861,"62",Hauts-de-France
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,5386,2,5386,5595,5595,"20 Rue du Repos","",TOURNON SUR RHONE,"07324","07300",4.832827,45.060176,"07",Auvergne-Rhône-Alpes
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1703-Maçon / Maçonne,ETTI,11356,1,11356,6780,6780,"35 rue constant ragot","",ST AIGNAN,"41198","41110",1.375584,47.268879,"41",Centre-Val de Loire
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,AI,4962,2,4962,3774,3774,"1 rue Rosalie Levasseur 59300 VALENCIENNES","",VALENCIENNES,"59606","59300",3.515244,50.368409,"59",Hauts-de-France
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1605-Électricien / Électricienne réseaux,ETTI,9513,1,9513,2454,2454,"15 ter rue de la baie","",LE PORT,"97415","97460",55.267943,-21.010049,"974",La Réunion
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1620-Installateur / Installatrice chauffage et climatisation,ETTI,1561,1,1561,1561,1561,"1 Rue Hauquelin","",GRENOBLE,"38185","38000",5.732623,45.193634,"38",Auvergne-Rhône-Alpes
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,ETTI,9513,1,9513,2454,2454,"15 ter rue de la baie","",LE PORT,"97415","97460",55.267943,-21.010049,"974",La Réunion
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,8371,2,8371,2794,2794,"30 bis rue du mail","",ROUEN,"76540","76100",1.091095,49.429859,"76",Normandie
D15- Grande distribution,"D- Commerce, Vente et Grande distribution",D1507-Employé / Employée de libre-service,AI,9353,1,9353,1948,1948,"18 C rue Sadi Carnot","",ST DENIS,"97407","97420",55.29327,-20.93715,"974",La Réunion
G12- Animation d'activités de loisirs,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1202-Animateur / Animatrice d'activités culturelles et de loisirs,AI,1121,1,1121,1094,1094,"5 Rue Robert Aylé","",HENIN BEAUMONT,"62427","62110",2.945288,50.419592,"62",Hauts-de-France
H22- Bois,H- Industrie,H2202-Conducteur / Conductrice de machines à bois,ETTI,11188,1,11188,6356,6356,"1 B Rue de la gaucherie","",LAVAL,"53130","53000",-0.784504,48.076131,"53",Pays de la Loire
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2909-Assembleur monteur / Assembleuse monteuse,ETTI,5291,1,5291,4812,4812,"20 bis rue du Ventoue","",LAMBALLE ARMOR,"22093","22400",-2.549792,48.468887,"22",Bretagne
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,9415,1,9415,5196,5196,"94, place du Clos","",CAVAILLON,"84035","84300",5.035482,43.834983,"84",Provence-Alpes-Côte d'Azur
K23- Propreté et environnement urbain,K- Services à la personne et à la collectivité,K2303-Ripeur / Ripeuse,AI,5158,1,5158,1208,1208,"36 rue du Marechal Leclerc","",COSNE COURS SUR LOIRE,"58261","58200",2.925721,47.413121,"58",Bourgogne-Franche-Comté
"I16- Véhicules, engins, aéronefs",I- Installation et Maintenance,I1604-Mécanicien / Mécanicienne automobile,ETTI,9514,4,9514,2454,2454,"15 ter rue de la baie","",LE PORT,"97415","97460",55.267943,-21.010049,"974",La Réunion
F15- Montage de structures,"F- Construction, Bâtiment et Travaux publics",F1501-Poseur / Poseuse de charpentes ou constructions bois,ETTI,12244,1,12244,7202,7202,"146 avenue Amédée Mercier","",BOURG EN BRESSE,"01053","01000",5.259721,46.198162,"01",Auvergne-Rhône-Alpes
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1619-Couvreur / Couvreuse,AI,5382,1,5382,741,741,espace boudeville,maison FRANCE SERVICES,DOMPIERRE SUR BESBRE,"03253","03290",3.672564,46.524508,"03",Auvergne-Rhône-Alpes
H33- Préparation et conditionnement,H- Industrie,H3302-Agent / Agente de conditionnement,ETTI,2077,1,2077,2108,2108,"7 rue Pierre Gilles","",ALBI,"81004","81000",2.152567,43.924798,"81",Occitanie
K25- Sécurité privée,K- Services à la personne et à la collectivité,K2501-Gardien / Gardienne,AI,5743,1,5743,1201,1201,"2 Rue de Clastres","",ST PAUL TROIS CHATEAUX,"26324","26130",4.760673,44.346956,"26",Auvergne-Rhône-Alpes
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,ACI,5183,1,5183,1765,1765,"12 bis Rue du Faubourg Neuf","",ST AMAND EN PUISAYE,"58270","58310",3.076786,47.529516,"58",Bourgogne-Franche-Comté
F13- Engins de chantier,"F- Construction, Bâtiment et Travaux publics",F1302-Conducteur / Conductrice d'engins de chantier,ETTI,3870,1,3870,1603,1603,"31 Avenue Simone Veil","",NICE,"06088","06200",7.203736,43.680682,"06",Provence-Alpes-Côte d'Azur
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,AI,7331,1,7331,1201,1201,"2 Rue de Clastres","",ST PAUL TROIS CHATEAUX,"26324","26130",4.760673,44.346956,"26",Auvergne-Rhône-Alpes
H22- Bois,H- Industrie,H2206-Menuisier / Menuisière,ETTI,3874,1,3874,1349,1349,"2 Rue de Bourgogne","",MOULINS,"03190","03000",3.335383,46.566316,"03",Auvergne-Rhône-Alpes
H21- Alimentaire,H- Industrie,H2102-Conducteur / Conductrice de ligne en industrie alimentaire,ACI,2287,1,2287,2325,2325,"5 Rue de la Providence","",MARCONNE,"62549","62140",2.030969,50.37835,"62",Hauts-de-France
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,ETTI,7218,1,7218,5679,5679,"12 Impasse Ampère","",LA ROCHE SUR YON,"85191","85000",-1.4399849999999998,46.660499,"85",Pays de la Loire
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1702-Ouvrier / Ouvrière en voiries,ETTI,3870,1,3870,1603,1603,"31 Avenue Simone Veil","",NICE,"06088","06200",7.203736,43.680682,"06",Provence-Alpes-Côte d'Azur
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1705-Poseur / Poseuse de canalisations,ETTI,36,1,36,1671,1671,"232 RUE ROGER SALENGRO","",BRUAY LA BUISSIERE,"62178","62700",2.543672,50.473015,"62",Hauts-de-France
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1602-Électricien / Électricienne du bâtiment,ETTI,11354,1,11354,4355,4355,"2 Place du Méridien","",VILLEJUIF,"94076","94800",2.367204,48.789748,"94",Île-de-France
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1702-Ouvrier / Ouvrière en voiries,ETTI,11250,1,11250,6387,6387,"22 rue des Carriers Italiens",AGENCE DE GRIGNY,GRIGNY,"91286","91350",2.381189,48.655314,"91",Île-de-France
N13- Personnel d'encadrement de la logistique,N- Transport et Logistique,N1303-Approvisionneur / Approvisionneuse logistique,ETTI,5066,1,5066,4777,4777,"346 Route de Realpanier","",VEDENE,"84141","84270",4.897279,43.9545,"84",Provence-Alpes-Côte d'Azur
K23- Propreté et environnement urbain,K- Services à la personne et à la collectivité,K2304-Agent / Agente de tri des déchets,ETTI,3620,1,3620,4230,4230,"3 Chemin de la Moutte a Bontemps",BP 50092,MONTMORILLON,"86165","86500",0.859438,46.423137,"86",Nouvelle-Aquitaine
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,ACI,4258,1,4258,508,508,"13 Rue du Four","",PONT A MOUSSON,"54431","54700",6.055707,48.900424,"54",Grand Est
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,AI,7889,1,7889,1582,1582,La Cour du Bois,"",MACHECOUL ST MEME,"44157","44270",-1.827554,46.988298,"44",Pays de la Loire
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1603-Plombier / Plombière,ETTI,11377,1,11377,6722,6722,"7 rue Emile Souvestre","",PONTIVY,"56178","56300",-2.966492,48.06831,"56",Bretagne
D12- Commerce non alimentaire et de prestations de confort,"D- Commerce, Vente et Grande distribution",D1205-Employé / Employée de pressing,ACI,6458,2,6458,2569,2569,"3 Rue du Théron","",MUR DE BARREZ,"12164","12600",2.661448,44.844553,"12",Occitanie
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1202-Agent / Agente d'entretien des espaces naturels,AI,7829,1,7829,717,717,"9 Rue de l'Eglise","",NOZAY,"44113","44170",-1.625008,47.565797,"44",Pays de la Loire
A14- Production,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1419-Ouvrier agricole polyvalent / Ouvrière agricole polyvalente,ACI,11401,1,11401,6527,6527,Balata,"",FORT DE FRANCE,"97209","97200",-61.080614,14.649655,"972",Martinique
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,ACI,44,1,44,1000,1000,"122 Rue de Canteraine","",ST POL SUR TERNOISE,"62767","62130",2.332046,50.371613,"62",Hauts-de-France
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1301-Ascensoriste,ETTI,9513,1,9513,2454,2454,"15 ter rue de la baie","",LE PORT,"97415","97460",55.267943,-21.010049,"974",La Réunion
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1703-Maçon / Maçonne,ETTI,11434,1,11434,3358,3358,"2 Rue du Cygne","",DESVRES,"62268","62240",1.835443,50.668391,"62",Hauts-de-France
A14- Production,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1418-Viticulteur / Viticultrice,ETTI,2016,1,2016,2045,2045,"15 Rue des Frères Faucher","",LA REOLE,"33352","33190",-0.03701,44.581417,"33",Nouvelle-Aquitaine
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,EI,9962,2,9962,5643,5643,"27 Avenue de Rome",ZONE INDUSTRIELLE LES ESTROUBLANS,VITROLLES,"13117","13127",5.247665,43.437293,"13",Provence-Alpes-Côte d'Azur
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1705-Poseur / Poseuse de canalisations,ETTI,11983,1,11983,6450,6450,"107 HOWELL CENTER - MARIGOT","106-107",ST MARTIN,"97801","97150",-63.079373,18.071295,"971",Guadeloupe
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1101-Cariste,ETTI,9511,1,9511,2454,2454,"15 ter rue de la baie","",LE PORT,"97415","97460",55.267943,-21.010049,"974",La Réunion
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1602-Électricien / Électricienne du bâtiment,ETTI,8370,1,8370,2794,2794,"30 bis rue du mail","",ROUEN,"76540","76100",1.091095,49.429859,"76",Normandie
H33- Préparation et conditionnement,H- Industrie,H3302-Agent / Agente de conditionnement,AI,8001,1,8001,4628,4628,"8 Rue du 4 Septembre","",LA FERTE BERNARD,"72132","72400",0.648321,48.186589,"72",Pays de la Loire
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,AI,26,1,26,1124,1124,Warlincourt-lès-Pas,"",WARLINCOURT LES PAS,"62877","62760",2.50966,50.176802,"62",Hauts-de-France
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,AI,10344,1,10344,1934,1934,"34 Rue Paul Ligneul",siège,LE MANS,"72181","72000",0.191126,47.997379,"72",Pays de la Loire
E13- Industries graphiques,"E- Communication, Média et Multimédia",E1301-Conducteur / Conductrice de machines d'impression,ETTI,1571,1,1571,1573,1573,"40 Rue Honhon","",VALENCIENNES,"59606","59300",3.522377,50.362145,"59",Hauts-de-France
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,10356,1,10356,1934,1934,"34 Rue Paul Ligneul",siège,LE MANS,"72181","72000",0.191126,47.997379,"72",Pays de la Loire
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,AI,8101,1,8101,448,448,Rue du Champs Saint-Gilles,Centre Charles Perrault,CONDE EN NORMANDIE,"14572","14110",-0.548759,48.854545,"14",Normandie
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,ACI,8364,1,8364,4949,4949,"90 rue du Mas de Portaly","",MONTPELLIER,"34172","34070",3.883665,43.583851,"34",Occitanie
H21- Alimentaire,H- Industrie,H2102-Conducteur / Conductrice de ligne en industrie alimentaire,ETTI,10519,1,10519,5893,5893,"2 Zone de Cromel","",ST QUENTIN SUR LE HOMME,"50543","50220",-1.351185,48.648865,"50",Normandie
"H32- Plastique, caoutchouc",H- Industrie,H3201-Plasturgiste,ETTI,11191,1,11191,6360,6360,"8 Avenue Raoul Vadepied","",EVRON,"53097","53600",-0.414745,48.143774,"53",Pays de la Loire
H21- Alimentaire,H- Industrie,H2101-Ouvrier / Ouvrière d'abattoir,ETTI,3908,1,3908,1499,1499,"20 Avenue Meunier","",MOULINS,"03190","03000",3.336597,46.559347,"03",Auvergne-Rhône-Alpes
H22- Bois,H- Industrie,H2207-Ébéniste,ETTI,3832,1,3832,1671,1671,"232 RUE ROGER SALENGRO","",BRUAY LA BUISSIERE,"62178","62700",2.543672,50.473015,"62",Hauts-de-France
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1613-Étancheur / Étancheuse,ETTI,11380,1,11380,6250,6250,"70 Avenue Maurice Planès",QUARTIER VAL DE CROZE,MONTPELLIER,"34172","34070",3.843256,43.597158,"34",Occitanie
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2902-Chaudronnier / Chaudronnière,ETTI,9800,1,9800,5434,5434,"8, rue des Vases","",HONFLEUR,"14333","14600",0.238322,49.418292,"14",Normandie
A14- Production,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1414-Horticulteur / Horticultrice,ACI,11118,1,11118,5247,5247,"2 RUE DES CORTALETS","",CERET,"66049","66400",2.764808,42.501277,"66",Occitanie
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,4748,1,4748,786,786,"144 Avenue de la Libération","",BAILLEUL,"59043","59270",2.736931,50.72967,"59",Hauts-de-France
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1604-Pizzaïolo / Pizzaïola,ETTI,7244,2,7244,1998,1998,"45 Avenue Georges BRASSENS",Rés HELIDA,ST DENIS,"97411","97490",55.490227,-20.927414,"974",La Réunion
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,EI,7695,1,7695,3900,3900,Haut Gondeau,ROUTE GONDEAU,LE LAMENTIN,"97213","97232",-61.029982,14.641781,"972",Martinique
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2913-Soudeur / Soudeuse,EI,11430,1,11430,6540,6540,"46 Rue des Chasseurs à Pied","",LA LONGUEVILLE,"59357","59570",3.874323,50.284438,"59",Hauts-de-France
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1604-Plaquiste,ETTI,3874,1,3874,1349,1349,"2 Rue de Bourgogne","",MOULINS,"03190","03000",3.335383,46.566316,"03",Auvergne-Rhône-Alpes
F13- Engins de chantier,"F- Construction, Bâtiment et Travaux publics",F1302-Conducteur / Conductrice d'engins de chantier,ETTI,2701,1,2701,2755,2755,"45 Rue César Campinchi","",BASTIA,"2B033","20200",9.450515,42.704166,"2B",Corse
"N11- Magasinage, manutention des charges et déménagement",N- Transport et Logistique,N1101-Cariste,ETTI,12357,1,12357,2719,2719,"1 Rue la Fayette","",STRASBOURG,"67482","67100",7.745081,48.560961,"67",Grand Est
K23- Propreté et environnement urbain,K- Services à la personne et à la collectivité,K2303-Ripeur / Ripeuse,ETTI,2033,1,2033,2063,2063,"6 Avenue de la Libération","",UZES,"30334","30700",4.417036,44.011723,"30",Occitanie
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1609-Solier / Solière,ETTI,5075,1,5075,3555,3555,"17 E RUE ALAIN SAVARY",TEMIS CENTER,BESANCON,"25212","25000",5.99848,47.25125,"25",Bourgogne-Franche-Comté
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1306-Auxiliaire de Vie Sociale (AVS),EI,5878,1,5878,1796,1796,"1628 Avenue Joseph Gasquet","",TOULON,"83137","83100",5.970584,43.122259,"83",Provence-Alpes-Côte d'Azur
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1604-Plaquiste,ETTI,4194,1,4194,1484,1484,"26 boulevard Waldeck Rousseau","",ST BRIEUC,"22278","22000",-2.757234,48.509904,"22",Bretagne
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1602-Commis / Commise de cuisine,AI,7741,2,7741,4739,4739,"18 b Rue Milius",Résidence Hermès,ST DENIS,"97411","97400",55.447996,-20.886776,"974",La Réunion
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,5562,1,5562,2557,2557,"96 avenue du Formans","",TREVOUX,"01427","01600",4.756201,45.952171,"01",Auvergne-Rhône-Alpes
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,ETTI,6111,3,6111,5119,5119,"289 avenue Maréchal Foch","",ORANGE,"84135","84100",4.804425,44.149879,"84",Provence-Alpes-Côte d'Azur
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,ACI,6273,1,6273,315,315,Chateau de Montaigut,"",GISSAC,"12275","12360",2.869371,43.891742,"12",Occitanie
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1603-Équipier polyvalent / Équipière polyvalente de restauration rapide,ETTI,3864,1,3864,1349,1349,"2 Rue de Bourgogne","",MOULINS,"03190","03000",3.335383,46.566316,"03",Auvergne-Rhône-Alpes
"I13- Equipements de production, équipements collectifs",I- Installation et Maintenance,I1309-Électricien / Électricienne de maintenance,ETTI,6628,5,6628,4159,4159,"64 Avenue General Henri Nogues","",TOULON,"83137","83000",5.920978,43.128011,"83",Provence-Alpes-Côte d'Azur
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1701-Coffreur / Coffreuse,ETTI,9842,1,9842,4052,4052,"33 avenue René Cassin",Bât ECODIA,DINAN,,"22108",-2.062929,48.455112,"22",Bretagne
"I16- Véhicules, engins, aéronefs",I- Installation et Maintenance,I1606-Carrossier-peintre / Carrossière-peintre,ETTI,9514,1,9514,2454,2454,"15 ter rue de la baie","",LE PORT,"97415","97460",55.267943,-21.010049,"974",La Réunion
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,AI,7240,1,7240,833,833,"6 Avenue de la Libération","",UZES,"30334","30700",4.417036,44.011723,"30",Occitanie
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,EI,7263,1,7263,2761,2761,"18 avenue Colonel TEYSSIER","",ALBI,"81004","81000",2.151298,43.92474,"81",Occitanie
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1613-Étancheur / Étancheuse,ETTI,1663,1,1663,1672,1672,"45 E AVENUE MARECHAL DE LATTRE DE TASSIGNY","",HAZEBROUCK,"59634","59190",2.540278,50.721854,"59",Hauts-de-France
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4101-Conducteur / Conductrice de poids lourd,ETTI,11962,1,11962,6986,6986,"1 AVENUE DU GENERAL LECLERC","",MAISONS ALFORT,"94046","94700",2.420573,48.815608,"94",Île-de-France
G16- Production culinaire,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1607-Employé / Employée de restauration collective,AI,4,1,4,1042,1042,"7 Rue Jlb Cocquerel","",HUCQUELIERS,"62463","62650",1.911167,50.5672,"62",Hauts-de-France
"I16- Véhicules, engins, aéronefs",I- Installation et Maintenance,I1606-Carrossier-peintre / Carrossière-peintre,ETTI,3873,1,3873,2047,2047,"Les Avenus des Paluds, 13400 Aubagne","ZI Centre Agora, Bât. B",AUBAGNE,"13005","13400",5.599144,43.288927,"13",Provence-Alpes-Côte d'Azur
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,ACI,8103,1,8103,456,456,"4138 Route de Livarot - Mittois",Le Manoir,ST PIERRE EN AUGE,"14742","14170",0.021472,49.016829,"14",Normandie
I12- Entretien technique,I- Installation et Maintenance,I1203-Agent / Agente d'entretien du bâtiment,ACI,7067,1,7067,2683,2683,COURCON,"",MAUZE SUR LE MIGNON,"17127","17170",-0.799946,46.253787,"17",Nouvelle-Aquitaine
A12- Espaces naturels et espaces verts,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1203-Agent / Agente d'entretien des espaces verts,AI,6206,2,6206,668,668,"21 avenue de la Paix",Le Septentrion,AMIENS,"80021","80000",2.289693,49.888494,"80",Hauts-de-France
G12- Animation d'activités de loisirs,"G- Hôtellerie-Restauration, Tourisme, Loisirs et Animation",G1203-Animateur / Animatrice auprès des jeunes,AI,6358,1,6358,1375,1375,"12 Avenue de Castelnaudary","",REVEL,"31451","31250",2.001515,43.456268,"31",Occitanie
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1701-Coffreur / Coffreuse,ETTI,2664,2,2664,2718,2718,"423 rue Jean Dausset","",AVIGNON,"84007","84000",4.894891,43.915533,"84",Provence-Alpes-Côte d'Azur
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1304-Employé familial / Employée familiale de maison,AI,6046,1,6046,3009,3009,"2040 chemin de Saint Bernard",PORTE 12 - VIEUX CHEMIN DE BIOT,VALLAURIS,"06155","06220",7.057828,43.594632,"06",Provence-Alpes-Côte d'Azur
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,10832,1,10832,1002,1002,"19 Rue Roland Garros","",BLOIS,"41018","41000",1.310617,47.591541,"41",Centre-Val de Loire
N41- Personnel de conduite du transport routier,N- Transport et Logistique,N4105-Chauffeur-livreur / Chauffeuse-livreuse,ACI,6134,1,6134,4838,4838,"17 Rue Pierre et Marie Curie","",GERZAT,"63164","63360",3.146856,45.815963,"63",Auvergne-Rhône-Alpes
A13- Etudes et assistance technique,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1301-Technicien / Technicienne de culture maraîchère,ACI,4856,1,4856,2296,2296,"17 Route de Moyembrie","",COUCY LE CHATEAU AUFFRIQUE,"02217","02380",3.339401,49.522849,"02",Hauts-de-France
